bpm,dB,dur
97,-4,217
87,-5,263
120,-3,200
119,-4,295
109,-5,221
65,-5,214
120,-4,203
148,-6,225
93,-8,216
126,-4,235
128,-4,235
145,-5,230
130,-5,213
122,-6,221
125,-8,217
130,-6,269
121,-4,202
128,-8,308
99,-7,274
120,-4,187
130,-7,284
186,-5,227
125,-5,215
103,-5,216
146,-4,238
148,-6,212
133,-5,203
129,-3,231
120,-5,228
125,-4,235
135,-2,213
138,-4,192
120,-3,172
92,-7,258
111,-5,249
130,-5,196
164,-5,264
131,-4,228
125,-6,269
150,-5,253
150,-4,185
104,-7,273
182,-4,251
112,-4,193
43,-6,257
120,-5,186
91,-4,220
120,-3,221
80,-5,329
122,-5,186
128,-3,191
139,-7,285
135,-8,285
129,-3,252
109,-5,221
105,-5,228
127,-4,236
128,-4,201
94,-5,267
110,-7,223
100,-5,200
150,-4,221
124,-5,260
125,-6,379
145,-5,230
99,-4,254
130,-4,262
120,-5,205
175,-4,223
95,-8,253
94,-9,219
130,-5,285
100,-3,263
130,-3,242
128,-4,208
130,-4,199
128,-6,321
152,-5,230
132,-6,238
130,-7,210
120,-4,220
127,-5,307
131,-4,249
126,-4,232
120,-4,197
128,-4,215
131,-4,265
63,-7,274
133,-5,229
84,-4,200
120,-5,223
80,-4,262
128,-3,257
91,-4,220
75,-6,247
80,-5,329
125,-8,255
127,-7,201
122,-7,208
129,-4,201
130,-4,279
126,-4,231
124,-5,228
98,-5,227
126,-4,245
144,-4,233
140,-7,279
110,-5,231
125,-2,200
77,-7,220
120,-7,193
117,-4,188
108,-4,242
86,-6,193
116,-4,222
104,-7,248
125,-2,211
93,-3,220
126,-4,206
127,-4,198
128,-5,228
120,-3,227
108,-7,277
97,-6,171
130,-5,216
127,-5,232
128,-6,243
160,-5,221
134,-4,227
128,-5,237
130,-6,228
120,-6,211
184,-6,251
92,-5,225
127,-4,206
127,-5,200
90,-3,211
150,-7,258
114,-3,256
160,-5,230
124,-6,247
121,-6,245
95,-7,243
85,-4,203
180,-5,224
80,-6,231
129,-3,213
116,-9,248
120,-6,221
170,-5,209
120,-5,264
174,-5,211
86,-6,193
128,-5,212
128,-3,271
126,-6,215
126,-3,184
155,-4,177
100,-7,228
118,-3,200
90,-3,183
128,-4,213
100,-8,354
128,-7,248
185,-4,221
146,-4,258
136,-4,230
84,-6,272
125,-7,252
95,-7,236
126,-6,215
82,-3,227
102,-4,326
128,-6,280
126,-3,157
130,-3,209
120,-5,225
120,-6,230
130,-6,241
121,-5,224
126,-3,202
184,-3,207
105,-7,263
77,-6,277
95,-5,197
87,-4,196
130,-8,221
93,-6,271
138,-7,424
80,-4,232
128,-5,244
104,-4,206
136,-8,236
100,-7,203
107,-5,353
140,-4,212
103,-4,286
128,-5,221
148,-2,198
107,-5,200
201,-3,211
128,-4,229
128,-5,257
128,-5,259
107,-6,227
130,-6,186
127,-4,230
132,-11,250
95,-4,207
104,-5,274
120,-7,270
84,-6,173
128,-4,223
160,-5,233
144,-5,225
160,-5,219
132,-6,216
125,-5,255
120,-6,190
116,-5,179
75,-7,253
103,-5,194
127,-6,214
100,-7,193
126,-5,240
122,-5,256
120,-5,279
118,-6,246
87,-5,231
160,-4,202
95,-4,200
100,-7,178
140,-7,244
144,-6,251
126,-5,229
82,-7,193
120,-4,225
96,-6,204
126,-4,232
130,-6,241
128,-3,184
186,-12,319
126,-5,215
110,-3,233
128,-3,217
140,-6,226
83,-5,252
138,-4,207
192,-4,191
138,-9,229
125,-6,268
120,-6,202
174,-3,216
170,-9,216
125,-4,222
116,-10,190
140,-7,323
130,-6,260
92,-4,169
